Date,Phone,Caffeine,Workout,Read,GameDev,Nap,Wellbeing
2026-01-01,423,0,0,0,0,0,0
2026-01-02,723,0,1,0,1,1,3
2026-01-03,511,1,1,1,1,0,4
2026-01-04,151,7,1,0,1,1,3
2026-01-05,151,1,1,0,0,1,4
2026-01-06,151,6,1,1,0,1,2
2026-01-07,121,8,0,0,1,1,7
2026-01-08,1322,1,0,1,1,1,3
2026-01-09,1322,6,1,1,1,0,4
2026-01-10,1322,6,1,1,1,0,4
2026-01-11,1322,6,1,1,1,0,4
2026-01-12,1322,6,1,1,1,0,4
2026-01-13,1322,6,1,1,1,0,4
2026-01-14,1322,6,1,1,1,0,4
2026-01-15,1322,6,1,1,1,0,4
2026-01-16,1322,6,1,1,1,0,4
2026-01-17,1322,6,1,1,1,0,4
2026-01-18,1322,6,1,1,1,0,4
2026-01-19,1322,6,1,1,1,0,4
2026-01-20,1322,6,1,1,1,0,4
2026-01-21,1322,6,1,1,1,0,4
2026-01-22,1322,6,1,1,1,0,4
2026-01-23,1322,6,1,1,1,0,4
2026-01-24,1322,6,1,1,1,0,4
2026-01-25,1322,6,1,1,1,0,4
2026-01-26,1322,6,1,1,1,0,4
2026-01-27,1322,6,1,1,1,0,4
2026-01-28,1322,6,1,1,1,0,4
2026-01-29,1322,6,1,1,1,0,4
2026-01-30,1322,6,1,1,1,0,4
2026-01-31,1322,6,1,1,1,0,4
2026-02-01,1322,6,1,1,1,0,4
2026-02-02,1322,6,1,1,1,0,4
2026-02-03,1322,6,1,1,1,0,4
2026-02-04,680,6,1,1,1,0,4
2026-02-05,680,3,1,1,1,1,8
2026-02-06,680,3,1,1,1,1,8
2026-02-07,680,3,1,1,1,1,8
2026-02-08,680,8,0,0,1,0,9
2026-02-09,680,8,0,0,1,0,9
2026-02-10,680,8,0,0,1,0,9
2026-02-11,680,8,0,0,1,0,9
2026-02-12,680,8,0,0,1,0,9
2026-02-13,680,8,0,0,1,0,9
2026-02-14,680,8,0,0,1,0,9
2026-02-15,680,8,0,0,1,0,9
2026-02-16,610,8,0,0,1,0,9
2026-02-17,610,0,1,1,1,1,1
2026-02-18,610,0,1,1,1,1,1
2026-02-19,605,0,1,1,1,1,1
2026-02-20,605,2,1,0,0,1,2
2026-02-21,605,2,1,0,0,1,2
2026-02-22,610,2,1,0,0,1,8
2026-02-23,610,0,1,1,1,1,1
2026-02-24,610,7,1,1,1,1,1
2026-02-25,0,7,1,1,1,1,1
